StudentID,Gender,Age,StudyHours,TestScore,Grade
1,Female,35,6,96,Pass
2,Female,30,6,75,Pass
3,Female,24,2,77,Pass
4,Male,28,6,93,Pass
5,Male,29,5,85,Pass
6,Male,33,3,49,Fail
7,Male,27,6,65,Pass
8,Female,34,8,83,Pass
9,Male,36,9,56,Fail
10,Female,27,1,44,Fail
11,Female,36,3,75,Pass
12,Female,25,3,74,Pass
13,Female,24,11,95,Pass
14,Male,34,8,81,Pass
15,Male,30,1,73,Pass
16,Male,21,5,53,Fail
17,Female,30,3,86,Pass
18,Female,30,2,49,Fail
19,Female,27,8,85,Pass
20,Female,36,3,90,Pass
21,Female,21,7,89,Pass
22,Male,21,11,63,Pass
23,Female,25,1,49,Fail
24,Male,33,6,58,Fail
25,Female,29,3,82,Pass
26,Female,26,8,79,Pass
27,Male,23,6,67,Pass
28,Male,33,2,56,Fail
29,Female,23,6,70,Pass
30,Female,27,7,68,Pass
31,Female,26,5,84,Pass
32,Female,29,3,52,Fail
33,Male,26,4,46,Fail
34,Female,25,4,58,Fail
35,Male,30,6,65,Pass
36,Female,27,10,90,Pass
37,Male,21,1,75,Pass
38,Male,32,11,76,Pass
39,Female,27,4,85,Pass
40,Male,36,10,56,Fail
41,Female,23,4,55,Fail
42,Male,34,10,95,Pass
43,Female,29,1,36,Fail
44,Male,35,9,53,Fail
45,Female,26,4,94,Pass
46,Female,29,7,73,Pass
47,Male,33,3,53,Fail
48,Male,35,10,60,Pass
49,Male,25,3,48,Fail
50,Male,27,8,51,Fail
51,Female,33,8,87,Pass
52,Male,36,11,53,Fail
53,Female,34,1,75,Pass
54,Male,24,10,74,Pass
55,Female,35,2,77,Pass
56,Female,36,8,70,Pass
57,Female,27,1,81,Pass
58,Female,33,8,72,Pass
59,Male,21,8,37,Fail
60,Male,27,2,80,Pass
61,Female,28,4,78,Pass
62,Male,25,6,36,Fail
63,Male,22,11,39,Fail
64,Female,25,9,87,Pass
65,Male,26,8,61,Pass
66,Male,32,8,51,Fail
67,Male,22,7,70,Pass
68,Female,34,9,75,Pass
69,Male,26,2,79,Pass
70,Female,26,3,50,Fail
71,Male,21,10,47,Fail
72,Male,34,8,58,Fail
73,Male,21,6,71,Pass
74,Female,34,10,96,Pass
75,Female,31,9,55,Fail
76,Male,36,10,88,Pass
77,Female,30,4,71,Pass
78,Male,23,8,36,Fail
79,Female,34,10,68,Pass
80,Female,30,3,36,Fail
81,Male,30,3,75,Pass
82,Male,35,8,44,Fail
83,Male,32,5,96,Pass
84,Male,23,3,70,Pass
85,Female,24,10,33,Fail
86,Female,22,11,54,Fail
87,Female,29,1,49,Fail
