StudentID,Gender,Age,StudyHours,TestScore,Grade
1,Male,31,2,98,Pass
2,Male,28,7,50,Fail
3,Female,23,2,48,Fail
4,Male,22,6,67,Pass
5,Female,25,2,37,Fail
6,Male,33,10,61,Pass
7,Male,23,6,35,Fail
8,Female,29,2,50,Fail
9,Female,31,1,91,Pass
10,Female,28,7,42,Fail
11,Female,29,3,64,Pass
12,Male,32,4,99,Pass
13,Female,27,6,95,Pass
14,Female,22,5,52,Fail
15,Female,35,4,88,Pass
16,Male,34,9,61,Pass
17,Male,34,6,83,Pass
18,Female,33,6,98,Pass
19,Female,30,2,36,Fail
20,Female,27,6,85,Pass
21,Female,33,7,43,Fail
22,Male,34,8,54,Fail
23,Female,31,8,70,Pass
24,Male,22,9,48,Fail
25,Female,22,10,42,Fail
26,Female,29,11,77,Pass
27,Male,27,3,72,Pass
28,Female,29,10,38,Fail
29,Female,29,7,58,Fail
30,Female,36,7,89,Pass
31,Female,32,1,97,Pass
32,Male,35,8,85,Pass
33,Female,29,4,42,Fail
34,Female,31,5,43,Fail
35,Male,36,6,43,Fail
36,Female,28,3,95,Pass
37,Male,28,5,93,Pass
38,Female,31,10,52,Fail
39,Female,25,5,71,Pass
40,Female,30,1,39,Fail
41,Male,33,3,48,Fail
42,Male,23,3,80,Pass
43,Female,32,1,78,Pass
44,Male,30,7,38,Fail
45,Female,31,1,86,Pass
46,Male,24,7,99,Pass
47,Female,35,4,95,Pass
48,Male,34,9,56,Fail
49,Female,36,7,77,Pass
50,Male,23,5,85,Pass
51,Male,34,7,79,Pass
52,Male,25,9,52,Fail
53,Male,26,10,80,Pass
54,Female,23,6,85,Pass
55,Female,34,1,57,Fail
56,Male,36,6,50,Fail
57,Female,22,1,79,Pass
58,Male,31,4,97,Pass
59,Female,32,8,61,Pass
60,Male,26,5,83,Pass
61,Female,30,5,97,Pass
62,Female,36,10,61,Pass
63,Male,33,11,89,Pass
64,Male,33,8,92,Pass
65,Male,36,8,38,Fail
66,Male,26,1,87,Pass
67,Male,33,5,77,Pass
68,Female,32,5,75,Pass
69,Male,31,8,90,Pass
70,Female,30,1,80,Pass
71,Male,35,7,58,Fail
72,Female,34,7,77,Pass
73,Female,33,9,48,Fail
74,Male,31,2,84,Pass
75,Male,27,3,86,Pass
76,Female,24,4,67,Pass
77,Female,25,1,41,Fail
78,Male,25,7,54,Fail
79,Female,22,10,40,Fail
80,Female,24,3,89,Pass
81,Female,24,3,82,Pass
82,Female,34,3,75,Pass
83,Female,35,8,56,Fail
84,Female,22,9,85,Pass
85,Male,34,10,86,Pass
86,Male,30,2,49,Fail
87,Male,32,10,70,Pass
88,Male,22,10,51,Fail
89,Female,30,1,53,Fail
90,Male,22,9,79,Pass
91,Female,23,6,35,Fail
92,Female,23,9,96,Pass
93,Male,35,6,36,Fail
94,Male,27,2,79,Pass
95,Female,28,1,82,Pass
96,Male,32,8,34,Fail
97,Male,22,3,55,Fail
98,Female,24,1,47,Fail
99,Female,23,8,78,Pass
100,Female,29,1,39,Fail
101,Female,30,8,98,Pass
102,Female,34,1,54,Fail
103,Female,23,9,37,Fail
104,Male,23,9,36,Fail
105,Male,31,9,63,Pass
106,Male,36,3,64,Pass
107,Female,30,4,67,Pass
108,Female,35,5,53,Fail
109,Male,25,6,87,Pass
110,Male,26,9,58,Fail
111,Male,34,11,48,Fail
